,O,Location,Person,MilitaryPlatform,Organisation,Weapon,Temporal,Money
taints,1.0,,,,,,,
corner,1.0,,,,,,,
café,1.0,,,,,,,
shop.,1.0,,,,,,,
rebury,1.0,,,,,,,
father,2.0,,,,,,,
49,1.0,,,,,,,
gone,2.0,,,,,,,
population,2.0,,,,,,,
Every,1.0,,,,,,,
Blood,1.0,,,,,,,
stains,1.0,,,,,,,
soil.,1.0,,,,,,,
Eerily,1.0,,,,,,,
swings,1.0,,,,,,,
slide,1.0,,,,,,,
Symbols,1.0,,,,,,,
innocence,1.0,,,,,,,
desperate,1.0,,,,,,,
backdrop,1.0,,,,,,,
candles,1.0,,,,,,,
tractor,1.0,,,,,,,
tyre.,1.0,,,,,,,
memorial,1.0,,,,,,,
instant,1.0,,,,,,,
Down,1.0,,,,,,,
bumpy,1.0,,,,,,,
imposing,1.0,,,,,,,
frame,2.0,,,,,,,
funeral,1.0,,,,,,,
afternoon,2.0,,,,,,,
DNA,1.0,,,,,,,
sample,1.0,,,,,,,
typically,1.0,,,,,,,
spared,1.0,,,,,,,
frequent,1.0,,,,,,,
shelling,1.0,,,,,,,
settlements,1.0,,,,,,,
endure.,1.0,,,,,,,
blames,1.0,,,,,,,
parliament,2.0,,,,1.0,,,
praised,1.0,,,,,,,
fought,9.0,,,,,,,
renewed,2.0,,,,,,,
spotlight,1.0,,,,,,,
controversial,2.0,,,,,,,
memorialisation,1.0,,,,,,,
applauded,1.0,,,,,,,
Jewish,4.0,,,,6.0,,,
parliamentarians,1.0,,,,,,,
alike.,1.0,,,,,,,
MP,1.0,,2.0,,,,,
invited,2.0,,,,,,,
deeply,2.0,,,,,,,
regretted,1.0,,,,,,,
mistake,1.0,,,,,,,
Praise,1.0,,,,,,,
'embarrassing,1.0,,,,,,,
WWII,5.0,,,,,,,
sparked,1.0,,,,,,,
debate,3.0,,,,,,,
diaspora,2.0,,,,,,,
Several,1.0,,,,,,,
monuments,7.0,,,,,,,
dedicated,3.0,,,,,,,
exist,1.0,,,,,,,
country.,4.0,,,,,,,
denounced,1.0,,,,,,,
dedications,1.0,,,,,,,
swore,1.0,,,,,,,
allegiance,1.0,,,,,,,
complicit,1.0,,,,,,,
crimes,4.0,,,,,,,
themselves.,1.0,,,,,,,
viewed,1.0,,,,,,,
quest,1.0,,,,,,,
independent,2.0,,,,,,,
Jews,2.0,,,,,,,
shot,4.0,,,,,,,
collaborators.,1.0,,,,,,,
committing,1.0,,,,,,,
guilty,2.0,,,,,,,
court,1.0,,,,,,,
Canadian,2.0,,,,,,,
glorification,1.0,,,,,,,
celebration,2.0,,,,,,,
actively,1.0,,,,,,,
participated,5.0,,,,,,,
Holocaust,2.0,,,,,,,
ImagesImage,1.0,,,,,,,
sculpture,1.0,,,,,,,
monument,1.0,,,,,,,
sits,1.0,,,,,,,
features,1.0,,,,,,,
insignia,1.0,,,,,,,
depicts,1.0,,,,,,,
bust,3.0,1.0,,,,,,
nationalist,1.0,,,,,,,
collaborator,1.0,,,,,,,
massacring,1.0,,,,,,,
Poles.,1.0,,,,,,,
involvement,3.0,,,,,,,
vandalised,1.0,,,,,,,
painted,1.0,,,,,,,
Why,2.0,,,,,,,
disagreement,1.0,,,,,,,
make-up,1.0,,,,,,,
professor,1.0,,,,,,,
millions,1.0,,,,,,,
German,1.0,,1.0,,,,,
believed,1.0,,,,,,,
grant,1.0,,,,,,,
resented,1.0,,,,,,,
Famine,1.0,,,,,,,
Holodomor,1.0,,,,,,,
Far-right,1.0,,,,,,,
ideologies,1.0,,,,,,,
traction,1.0,,,,,,,
exception,1.0,,,,,,,
Following,3.0,,,,,,,
entry,3.0,,,,,,,
surrendering,1.0,,,,,,,
Canadians,2.0,,,,,,,
descent,2.0,,,,,,,
heroes,1.0,,,,,,,
independence.,1.0,,,,,,,
views,1.0,,,,,,,
differently.,1.0,,,,,,,
bottom,3.0,,,,,,,
B'nai,2.0,,,,,,,
Brith,2.0,,,,,,,
commission,1.0,,,,1.0,,,
tasked,1.0,,,,,,,
investigating,1.0,,,,,,,
allegations,1.0,,,,,,,
haven,1.0,,,,,,,
criminals,1.0,,,,,,,
tying,1.0,,,,,,,
crimes.,2.0,,,,,,,
mere,1.0,,,,,,,
membership,1.0,,,,,,,
insufficient,1.0,,,,,,,
prosecution,2.0,,,,,,,
findings,1.0,,,,,,,
historians,1.0,,,,,,,
disinformation,2.0,,,,,,,
history.,3.0,,,,,,,
historical,1.0,,,,,,,
complicated,2.0,,,,,,,
propaganda,3.0,,,,,,,
falsely,1.0,,,,,,,
labelled,1.0,,,,,,,
exists,1.0,,,,,,,
tries,1.0,,,,,,,
elected,1.0,,,,,,,
tied,1.0,,,,,,,
greatly,1.0,,,,,,,
simplified,1.0,,,,,,,
narrative,1.0,,,,,,,
criticized,1.0,,,,,,,
existence,1.0,,,,,,,
paying,1.0,,,,,,,
tribute,1.0,,,,,,,
houses,1.0,,,,,,,
swift,1.0,,,,,,,
renunciation,1.0,,,,,,,
effect,5.0,,,,,,,
acknowledged,3.0,,,,,,,
especially,4.0,,,,,,,
diaspora.,1.0,,,,,,,
Nazism,1.0,,,,,,,
generations,2.0,,,,,,,
celebrate,1.0,,,,,,,
whitewash,1.0,,,,,,,
broadly,3.0,,,,,,,
scholars,1.0,,,,,,,
downplaying,1.0,,,,,,,
massacre,1.0,,,,,,,
conversations,2.0,,,,,,,
issue.,1.0,,,,,,,
forward.,2.0,,,,,,,
property,2.0,,,,,,,
wrongdoing,1.0,,,,,,,
episode,1.0,,,,,,,
examination,1.0,,,,,,,
demanding,1.0,,,,,,,
continued,6.0,,,,,,,
excluded,2.0,,,,,,,
last-minute,2.0,,,,,,,
congressional,1.0,,,,,,,
temporary,2.0,,,,,,,
measure,1.0,,,,,,,
avert,1.0,,,,,,,
priority,4.0,,,,,,,
Hardline,1.0,,,,,,,
oppose,1.0,,,,,,,
openly,1.0,,,,,,,
opposing,1.0,,,,,,,
approach,10.0,,,,,,,
circumstances,2.0,,,,,,,
interrupted,1.0,,,,,,,
'll,15.0,,,,,,,
restoring,2.0,,,,,,,
assure,1.0,,,,,,,
full,7.0,,,,,,,
art,1.0,,,,,,,
avoids,1.0,,,,,,,
dealRussian,1.0,,,,,,,
'shows,1.0,,,,,,,
alive'.,1.0,,,,,,,
How,6.0,,,,,,,
grappling,1.0,,,,,,,
fatigue.,2.0,,,,,,,
stripped,1.0,,,,,,,
Senior,1.0,,1.0,,,,,
parties,2.0,,,,,,,
signalling,1.0,,,,,,,
intention,2.0,,,,,,,
flew,1.0,,,,,,,
plead,1.0,,,,,,,
hard-right,1.0,,,,,,,
Representatives,2.0,,,,2.0,,,
months.,1.0,,,,,,,
enjoying,1.0,,,,,,,
wafer-thin,1.0,,,,,,,
approve,2.0,,,,,,,
authorised,1.0,,,,,,,
Representative,1.0,,2.0,,,,,
51st,1.0,,,,,,,
provoked,1.0,,,,,,,
reaction,1.0,,,,,,,
senators.,1.0,,,,,,,
moment,4.0,,,,,,,
45-day,1.0,,,,,,,
secure,4.0,,,,,,,
longer-term,1.0,,,,,,,
unwanted,1.0,,,,,,,
deadline,1.0,,,,,,,
concedes,1.0,,,,,,,
ongoing,6.0,,,,,,,
programmes,2.0,,,,,,,
disturbing.,1.0,,,,,,,
stop-gap,2.0,,,,,,,
deal.,2.0,,,,,,,
alarm,1.0,,,,,,,
turmoil,1.0,,,,,,,
symptoms,1.0,,,,,,,
growing,5.0,,,,,,,
scepticism,1.0,,,,,,,
concerning,3.0,,,,,,,
diplomat,1.0,,,,,,,
accordingly,1.0,,,,,,,
address,7.0,,,,,,,
no-one,1.0,,,,,,,
West.,1.0,,,,,,,
overwhelmingly,1.0,,,,,,,
prefer,1.0,,,,,,,
Members,1.0,,,,1.0,,,
convinced,1.0,,,,,,,
basis,2.0,,,,,,,
collect,1.0,,,,,,,
justice,4.0,,,,1.0,,,
investigated,4.0,,,,,,,
“violation,1.0,,,,,,,
laws,2.0,,,,,,,
customs,1.0,,,,,,,
war.”,1.0,,,,,,,
region’s,1.0,,,,1.0,,,
“aimed,1.0,,,,,,,
exclusively,4.0,,,,,,,
infrastructure.”,1.0,,,,,,,
three-story,1.0,,,,,,,
apartment,1.0,,,,,,,
rescued,1.0,,,,,,,
11-month-old,1.0,,,,,,,
baby,1.0,,,,,,,
Dozens,1.0,,,,,,,
mourn,1.0,,,,,,,
room,2.0,,,,,,,
time…,1.0,,,,,,,
chaos.”,1.0,,,,,,,
reiterated,3.0,,,,,,,
“impossible,1.0,,,,,,,
people”,1.0,,,,,,,
bombardments,1.0,,,,,,,
“There,1.0,,,,,,,
documents,1.0,,,,,,,
evil.,1.0,,,,,,,
assaults,1.0,,,,,,,
fail.,1.0,,,,,,,
unity.,1.0,,,,,,,
life.”,1.0,,,,,,,
meetings,2.0,,,,,,,
Spanish,3.0,,1.0,,2.0,,,
receive,1.0,,,,,,,
“the,1.0,,,,,,,
massacres.”,1.0,,,,,,,
Rescuers,1.0,,,,,,,
meanwhile,1.0,,,,,,,
pointed,1.0,,,,,,,
example,2.0,,,,,,,
“Can,1.0,,,,,,,
walking,1.0,,,,,,,
kids,1.0,,,,,,,
you’re,2.0,,,,,,,
dinner,1.0,,,,,,,
Where,1.0,,,,,,,
secretary,13.0,,2.0,,,,,
25,3.0,,,,,,2.0,
3,1.0,,,,,,3.0,
engage,4.0,,,,,,,
Chiefs,2.0,,1.0,,,,,
27,2.0,,,,,,3.0,
Member,2.0,1.0,,,6.0,,,
mandate.,3.0,,,,,,,
paid,1.0,,,,,,,
Relevant,1.0,,,,,,,
topics,3.0,,,,,,,
discussion,7.0,,,,,,,
play,5.0,,,,,,,
implementation,6.0,,,,,,,
Strategic,7.0,,,,5.0,,,
Compass,8.0,,,,,,,
agenda,2.0,,,,,,,
Presidency,1.0,,,,,,,
particular.,1.0,,,,,,,
tenets,1.0,,,,,,,
strands,1.0,,,,,,,
transformation,1.0,,,,,,,
notable,1.0,,,,,,,
aspect,2.0,,,,,,,
procurement,3.0,,,,,,,
“On,1.0,,,,,,,
outstanding,1.0,,,,,,,
pressing,1.0,,,,,,,
needing,2.0,,,,,,,
inputs,1.0,,,,,,,
steadily,1.0,,,,,,,
domains,1.0,,,,,,,
Space,1.0,,,,,,,
answers.,1.0,,,,,,,
Same,1.0,,,,,,,
requirement,1.0,,,,,,,
EU´s,1.0,,,,,,,
Rapid,2.0,,,,2.0,,,
Deployment,2.0,,,,2.0,,,
Capacity,2.0,,,,2.0,,,
RDC,3.0,,,,2.0,,,
Concerning,1.0,,,,,,,
latter,1.0,,,,,,,
recalled,3.0,,,,,,,
LIVEX,4.0,,,,,,,
Full,1.0,,,,,,,
Capability,5.0,,,,2.0,,,
regard,3.0,,,,,,,
leveraging,2.0,,,,,,,
contribution,3.0,,,,,,,
project.,1.0,,,,,,,
Suitable,1.0,,,,,,,
chain,7.0,,,,1.0,,,
communication,7.0,,,,,,,
represent,1.0,,,,,,,
assets,5.0,,,,,,,
complementarity,1.0,,,,,,,
consider,1.0,,,,,,,
well-recognised,1.0,,,,,,,
“single,1.0,,,,,,,
principle,2.0,,,,,,,
flexible,4.0,,,,,,,
financial,1.0,,,,,,,
proposal,2.0,,,,,,,
High,1.0,,1.0,,,,,
increase,7.0,,,,,,,
overall,7.0,,,,,,,
"40,000",1.0,,,,,,,
period,1.0,,,,,,,
relevant,4.0,,,,,,,
worrisome,1.0,,,,,,,
debated,1.0,,,,,,,
highlighting,2.0,,,,,,,
guidance,2.0,,,,,,,
consequent,1.0,,,,,,,
adapt,5.0,,,,,,,
mandates,3.0,,,,,,,
CSDP,16.0,,,,,,,
ambitions.,1.0,,,,,,,
coherently,1.0,,,,,,,
complementarity.”,1.0,,,,,,,
occasion,1.0,,,,,,,
Wing,1.0,,,1.0,,,,
asset,1.0,,,,,,,
potentially,2.0,,,,,,,
available,6.0,,,,,,,
initiatives,2.0,,,,,,,
truly,3.0,,,,,,,
grateful,3.0,,,,,,,
hospitality,2.0,,,,,,,
project,5.0,,,,,,,
enabler,2.0,,,,,,,
fare,1.0,,,,,,,
welling,1.0,,,,,,,
Crisis,1.0,,,,,,,
Management,1.0,,,,,,,
MILEX,7.0,,,,,,,
Planning,2.0,,,,1.0,,,
Conduct,2.0,,,,1.0,,,
MPCC,4.0,,1.0,,,,,
Operations,2.0,,2.0,,2.0,,,
OHQ,1.0,,,,,,,
briefs,1.0,,,,,,,
attendees,3.0,,,,,,,
outline,2.0,,,,,,,
exercising,1.0,,,,,,,
validate,1.0,,,,,,,
concepts,3.0,,,,,,,
finalise,1.0,,,,,,,
departure,1.0,,,,,,,
series,4.0,,,,,,,
milestone,1.0,,,,,,,
deliverable,2.0,,,,,,,
“live,1.0,,,,,,,
framework,6.0,,,,,,,
progressive,1.0,,,,,,,
generally,1.0,,,,,,,
reinforce,4.0,,,,,,,
posture,7.0,,,,,,,
strengthen,12.0,,,,,,,
partners”,1.0,,,,,,,
Deputy,1.0,,6.0,,,,,
Director,2.0,,2.0,,,,,
‘MILEX,1.0,,,,,,,
Day’,1.0,,,,,,,
organisations,3.0,,,,,,,
overview,1.0,,,,,,,
detailed,1.0,,,,,,,
insight,1.0,,,,,,,
process.,1.0,,,,,,,
Afterwards,1.0,,,,,,,
visitors,1.0,,,,,,,
Commanders,3.0,,,,,,,
Update,1.0,,,,,,,
Brief,1.0,,,,,,,
CUB,1.0,,,,,,,
firsthand,1.0,,,,,,,
morning’s,1.0,,,,,,,
briefings,2.0,,,,,,,
create,2.0,,,,,,,
attendance,1.0,,,,,,,
LIVEX.,1.0,,,,,,,
Day,1.0,,,,,,,
demonstrated,2.0,,,,,,,
experience,9.0,,,,,,,
execute,1.0,,,,,,,
thereby,1.0,,,,,,,
respond,2.0,,,,,,,
external,6.0,,,,,,,
underlining,1.0,,,,,,,
steps,1.0,,,,,,,
credible,2.0,,,,,,,
Located,1.0,,,,,,,
chosen,2.0,,,,,,,
ideal,1.0,,,,,,,
discussing,2.0,,,,,,,
'The,1.0,,,,,,,
opportunities,13.0,,,,,,,
theme,4.0,,,,,,,
meeting.,1.0,,,,,,,
“space,1.0,,,,,,,
economy,4.0,,,,,,,
recognized,1.0,,,,,,,
sector,1.0,,,,,,,
hostile,1.0,,,,,,,
autonomy,1.0,,,,,,,
context,6.0,,,,,,,
intensifying,1.0,,,,,,,
threats.,1.0,,,,,,,
disputed,1.0,,,,,,,
maritime.”,1.0,,,,,,,
current,6.0,,,,,,,
unrest-stricken,1.0,,,,,,,
zone,1.0,4.0,,,,,,
departing,3.0,,,,,,,
stated,1.0,,,,,,,
Semesters,1.0,,,,,,,
stimulating,1.0,,,,,,,
debates,1.0,,,,,,,
crucial,4.0,,,,,,,
goals,2.0,,,,,,,
agreed,2.0,,,,,,,
upon,2.0,,,,,,,
timelines.,1.0,,,,,,,
upcoming,1.0,,,,,,,
planned,1.0,,,,,,,
predict,1.0,,,,,,,
Let,4.0,,,,,,,
remind,1.0,,,,,,,
roadmap,1.0,,,,,,,
foreseen,1.0,,,,,,,
enablement,1.0,,,,,,,
cornerstone,1.0,,,,,,,
credibility.”,1.0,,,,,,,
heading,3.0,,,,,,,
expressed,3.0,,,,,,,
deepest,1.0,,,,,,,
gratitude,2.0,,,,,,,
behalf,2.0,,,,,,,
Civilian,3.0,,2.0,,1.0,,,
achievements,2.0,,,,,,,
Common,1.0,,,,,,,
Policy,1.0,,,,,,,
20th,3.0,,,,,,1.0,
Mission,3.0,,,,2.0,,,
EUPM,2.0,,,,,,,
continents,1.0,,,,,,,
neighbours,2.0,,,,,,,
afield,2.0,,,,,,,
shore,1.0,,,,,,,
situations.,1.0,,,,,,,
broad,2.0,,,,,,,
spectrum,1.0,,,,,,,
specialised,1.0,,,,,,,
comprehensive,4.0,,,,,,,
institution,1.0,,,,,,,
reform.,2.0,,,,,,,
"15,000",1.0,,,,,,,
fulfil,1.0,,,,,,,
ambition,3.0,,,,,,,
meaningful,1.0,,,,,,,
stabilise,1.0,,,,,,,
fragile,2.0,,,,,,,
sound,2.0,,,,,,,
abroad,2.0,,,,,,,
contributes,1.0,,,,,,,
mission.,2.0,,,,,,,
manifestation,1.0,,,,,,,
distinctive,1.0,,,,,,,
instability,3.0,,,,,,,
strengthened,1.0,,,,,,,
reformed,1.0,,,,,,,
tool,3.0,,,,,,,
diplomacy,1.0,,,,,,,
optimum,1.0,,,,,,,
Back,1.0,,,,,,,
concept,3.0,,,,,,,
formulated,1.0,,,,,,,
understood.,1.0,,,,,,,
evident,1.0,,,,,,,
scratch.,1.0,,,,,,,
precedent,1.0,,,,,,,
on.,5.0,,,,,,,
imagined,1.0,,,,,,,
lexicon,1.0,,,,,,,
invented,1.0,,,,,,,
established.,1.0,,,,,,,
Duty,1.0,,,,,,,
consideration.,2.0,,,,,,,
mitigate,1.0,,,,,,,
volatile,2.0,,,,,,,
risks,2.0,,,,,,,
hitherto,1.0,,,,,,,
exposed,1.0,,,,,,,
to.,1.0,,,,,,,
owes,1.0,,,,,,,
dedication,2.0,,,,,,,
imagination,1.0,,,,,,,
vision,3.0,,,,,,,
nothing.,1.0,,,,,,,
promising,1.0,,,,,,,
ravages,1.0,,,,,,,
horrors,1.0,,,,,,,
Yugoslav,1.0,,,,,,,
wars,1.0,,,,,,,
expectation,1.0,,,,,,,
aligned,1.0,,,,,,,
resolution,2.0,,,,,,,
shared.,1.0,,,,,,,
self-evident,1.0,,,,,,,
maturing,1.0,,,,,,,
embodied,1.0,,,,,,,
values,5.0,,,,,,,
actor,2.0,,,,,,,
doorstep.,1.0,,,,,,,
Overtime,1.0,,,,,,,
discreet,1.0,,,,,,,
mandates.,1.0,,,,,,,
EULEX,4.0,,,,,,,
capabilities.,2.0,,,,,,,
stands,4.0,,,,,,,
ambitious,3.0,,,,,,,
granted,1.0,,,,,,,
executive,1.0,,,,,,,
height,2.0,,,,,,,
employed,2.0,,,,,,,
thousand,1.0,,,,,,,
reform,1.0,,,,,,,
enforcement,1.0,,,,,,,
entrench,1.0,,,,,,,
nascent,1.0,,,,,,,
democracy.,1.0,,,,,,,
itself,2.0,,,,,,,
indirectly,2.0,,,,,,,
paving,1.0,,,,,,,
accession,1.0,,,,,,,
benefit,4.0,,,,,,,
permanent,3.0,,,,,,,
structures.,1.0,,,,,,,
enable,4.0,,,,,,,
surer,1.0,,,,,,,
footing.,1.0,,,,,,,
guidelines,2.0,,,,,,,
regulate,1.0,,,,,,,
heads,1.0,,,,,,,
establishing,1.0,,,,,,,
command.,2.0,,,,,,,
Treaty,1.0,,,,,,,
establishment,1.0,,,,,,,
pivotal,1.0,,,,,,,
countries.,2.0,,,,,,,
adopted,4.0,,,,,,,
ensured,1.0,,,,,,,
systematic,1.0,,,,,,,
predictable,1.0,,,,,,,
making.,1.0,,,,,,,
formative,1.0,,,,,,,
bold,1.0,,,,,,,
innovative,1.0,,,,,,,
ranging,3.0,,,,,,,
disarmament,1.0,,,,,,,
demobilisation,1.0,,,,,,,
reintegration,1.0,,,,,,,
civil,1.0,,,,,,,
aviation,1.0,,,,,,,
testament,3.0,,,,,,,
versatility,1.0,,,,,,,
offer,1.0,,,,,,,
pinpoint,1.0,,,,,,,
exactly,3.0,,,,,,,
shifted,1.0,,,,,,,
consensual,1.0,,,,,,,
systemic,1.0,,,,,,,
certainly,4.0,,,,,,,
inflection,1.0,,,,,,,
decisive,1.0,,,,,,,
ending,1.0,,,,,,,
high-level,1.0,,,,,,,
flanked,1.0,,,,,,,
newly,1.0,,,,,,,
defined,2.0,,,,,,,
hostilities,1.0,,,,,,,
undeniably,1.0,,,,,,,
chapter,1.0,,,,,,,
missions.,1.0,,,,,,,
sustained,1.0,,,,,,,
state.,1.0,,,,,,,
ever.,1.0,,,,,,,
Reform,1.0,,,,,,,
law-enforcement,1.0,,,,,,,
hour,1.0,,,,,,,
need.,2.0,,,,,,,
Advisory,1.0,,,,,,,
resourcefulness,1.0,,,,,,,
facilitate,2.0,,,,,,,
investigation,1.0,,,,,,,
reminder,2.0,,,,,,,
deteriorated,1.0,,,,,,,
couple,2.0,,,,,,,
decades.,1.0,,,,,,,
Partners,1.0,,,,,,,
reminds,1.0,,,,,,,
relevance,1.0,,,,,,,
nexus,1.0,,,,,,,
sense,2.0,,,,,,,
CSDP.,1.0,,,,,,,
scalable,1.0,,,,,,,
modular,1.0,,,,,,,
decision-making,1.0,,,,,,,
speedier,1.0,,,,,,,
deployments,1.0,,,,,,,
challenging,2.0,,,,,,,
environment.,1.0,,,,,,,
affairs,1.0,,,,1.0,,,
actors,2.0,,,,,,,
Compact,1.0,,,,,,,
stock,1.0,,,,,,,
primed,1.0,,,,,,,
objectives,3.0,,,,,,,
turbulent,1.0,,,,,,,
Environmental,5.0,,,,,,,
Advisor.,1.0,,,,,,,
tackle,2.0,,,,,,,
green,1.0,,,,,,,
transition,2.0,,,,,,,
recruited,1.0,,,,,,,
Advisor,3.0,,,,,,,
ecology,1.0,,,,,,,
natural,3.0,,,,,,,
bachelor,1.0,,,,,,,
journalism,1.0,,,,,,,
owner,1.0,,,,,,,
sustainability,1.0,,,,,,,
consultant,1.0,,,,,,,
bureau,1.0,,,,,,,
environmental,23.0,,,,,,,
respect,2.0,,,,,,,
chain.,2.0,,,,,,,
researching,1.0,,,,,,,
journalist,1.0,,,,,,,
Swedish,3.0,,,,,,,
NGO,1.0,,,,,,,
extensive,1.0,,,,,,,
mainly,2.0,,,,,,,
adverse,2.0,,,,,,,
effects,4.0,,,,,,,
companies’,1.0,,,,,,,
conditions,2.0,,,,,,,
Question,1.0,,,,,,,
decide,1.0,,,,,,,
societies,1.0,,,,,,,
degradation,4.0,,,,,,,
change.,2.0,,,,,,,
ten,1.0,,,,,,1.0,
links.,1.0,,,,,,,
It’s,5.0,,,,,,,
processes,1.0,,,,,,,
well-being.,1.0,,,,,,,
degradation.,1.0,,,,,,,
Climate,4.0,,,,,,,
scarce,1.0,,,,,,,
arable,1.0,,,,,,,
multiplier,1.0,,,,,,,
accelerate,2.0,,,,,,,
deepen,1.0,,,,,,,
drive,1.0,,,,,,,
scales.”,1.0,,,,,,,
Q,42.0,,,,,,,
CSDP-missions.,1.0,,,,,,,
yourself,1.0,,,,,,,
there’s,1.0,,,,,,,
define,1.0,,,,,,,
shall,1.0,,,,,,,
focus.,1.0,,,,,,,
mission’s,5.0,,,,,,,
footprint,5.0,,,,,,,
trainings,1.0,,,,,,,
awareness,3.0,,,,,,,
raising,1.0,,,,,,,
relevant.”,1.0,,,,,,,
solar,3.0,,,,,,,
panels,3.0,,,,,,,
mainstream,1.0,,,,,,,
scope,1.0,,,,,,,
contribute,7.0,,,,,,,
practically,1.0,,,,,,,
adaptation,1.0,,,,,,,
waste,4.0,,,,,,,
hopefully,2.0,,,,,,,
renewable,1.0,,,,,,,
energy,3.0,,,,,,,
energy.,1.0,,,,,,,
planting,1.0,,,,,,,
seed,1.0,,,,,,,
leave.”,1.0,,,,,,,
Apart,1.0,,,,,,,
raise,1.0,,,,,,,
aspects,3.0,,,,,,,
“There’s,1.0,,,,,,,
concern.,1.0,,,,,,,
conserving,1.0,,,,,,,
sake,2.0,,,,,,,
nice,1.0,,,,,,,
lions.,1.0,,,,,,,
children’s,1.0,,,,,,,
decent,1.0,,,,,,,
planet.,1.0,,,,,,,
healthy,1.0,,,,,,,
ecosystems,2.0,,,,,,,
materials,1.0,,,,,,,
medicines,1.0,,,,,,,
intrinsic,1.0,,,,,,,
beauty,1.0,,,,,,,
ocean,2.0,,,,,,,
waves,1.0,,,,,,,
hours.”,1.0,,,,,,,
Plastic,1.0,,,,,,,
aware,2.0,,,,,,,
offices,1.0,,,,,,,
oil,10.0,,,,,,,
spill,1.0,,,,,,,
plastic.,2.0,,,,,,,
install,1.0,,,,,,,
diesel,1.0,,,,,,,
generators.,1.0,,,,,,,
anyone,2.0,,,,,,,
depends,1.0,,,,,,,
neighbour,1.0,,,,,,,
magnitude,1.0,,,,,,,
plastic,2.0,,,,,,,
waste.,1.0,,,,,,,
that.,3.0,,,,,,,
skip,1.0,,,,,,,
lid,1.0,,,,,,,
coffee,1.0,,,,,,,
cup,1.0,,,,,,,
cutlery,1.0,,,,,,,
cups,1.0,,,,,,,
solved,1.0,,,,,,,
important.”,1.0,,,,,,,
wish,2.0,,,,,,,
luck,1.0,,,,,,,
positively,1.0,,,,,,,
rank,3.0,,,,,,,
kinds,1.0,,,,,,,
humanity,1.0,,,,,,,
implications,1.0,,,,,,,
sector.,1.0,,,,,,,
Degraded,1.0,,,,,,,
scarcer,1.0,,,,,,,
livelihood,1.0,,,,,,,
destabilise,1.0,,,,,,,
globe.,2.0,,,,,,,
Natural,1.0,,,,,,,
weather,2.0,,,,,,,
uphold,2.0,,,,,,,
settings,1.0,,,,,,,
governance,1.0,,,,,,,
weak,1.0,,,,,,,
lacking,1.0,,,,,,,
suffer,1.0,,,,,,,
longed,1.0,,,,,,,
recognised,1.0,,,,,,,
non-linear,1.0,,,,,,,
linkages,1.0,,,,,,,
Conclusions,1.0,,,,,,,
propose,1.0,,,,,,,
subsequent,1.0,,,,,,,
Change,1.0,,,,,,,
Roadmap,1.0,,,,,,,
integration,5.0,,,,,,,
considerations,2.0,,,,,,,
introduce,1.0,,,,,,,
advisors,2.0,,,,,,,
fourth,1.0,,,,,,,
travelling,1.0,,,,,,,
visiting,2.0,,,,,,,
expert.,1.0,,,,,,,
activities.,2.0,,,,,,,
relating,1.0,,,,,,,
activates,1.0,,,,,,,
EUNAVFOR,5.0,,,,,,,
MED,5.0,,,,,,,
IRINI,5.0,,,,,,,
core,3.0,,,,,,,
embargo,2.0,,,1.0,,,,
secondary,1.0,,,,,,,
mandated,1.0,,,,,,,
illicit,3.0,,,,,,,
petroleum,1.0,,,,,,,
model,1.0,,,,,,,
smuggling,2.0,,,,,,,
trafficking,1.0,,,,,,,
resolutions,1.0,,,,,,,
impartial,1.0,,,,,,,
balanced,1.0,,,,,,,
boarded,1.0,,,,,,,
inspected,1.0,,,,,,,
suspect,6.0,,,,,,,
vessels.,2.0,,,,,,,
diverted,1.0,,,,,,,
cargo,1.0,,,,,,,
occasions,2.0,,,,,,,
consent,3.0,,,,,,,
board,2.0,,,,,,,
inspect,1.0,,,,,,,
5.503,2.0,,,,,,,
radio,2.0,,,,,,,
231,2.0,,,,,,,
Masters’,2.0,,,,,,,
friendly,3.0,,,,,,,
approaches,3.0,,,,,,,
Furthermore,1.0,,,,,,,
715,2.0,,,,,,,
flights,2.0,,,,,,,
airports,2.0,,,,,,,
33,1.0,,,,,,,
violations,2.0,,,,,,,
Country.,1.0,,,,,,,
embedded,1.0,,,,,,,
Enforcement,1.0,,,,,,,
agencies,1.0,,,,,,,
57,3.0,,,,,,,
recommendations,2.0,,,,,,,
inspection,2.0,,,,,,,
46,1.0,,,,,,,
363,1.0,,,,,,,
visits,3.0,,,,,,,
monitored,1.0,,,,,,,
41,1.0,,,,,,,
landing,1.0,,,,,,,
strips,1.0,,,,,,,
terminals,1.0,,,,,,,
Through,4.0,,,,,,,
inspections,1.0,,,,,,,
accordance,2.0,,,,,,,
Resolutions,1.0,,,,,,,
Inspections,1.0,,,,,,,
prejudge,1.0,,,,,,,
questioned,1.0,,,,,,,
inspected.,1.0,,,,,,,
Moreover,1.0,,,,,,,
COVID-19,1.0,,,,,,,
preventive,1.0,,,,,,,
implemented,1.0,,,,,,,
respected,1.0,,,,,,,
chemical,9.0,,,,,10.0,,
detection,2.0,,,,,,,
toxic,1.0,,,,,2.0,,
developed,2.0,,,,,,,
outlined,1.0,,,,,,,
Industrial,1.0,,,,,,,
Strategy,2.0,,,,,,,
DSIS,1.0,,,,,,,
re-energise,1.0,,,,,,,
sectors,1.0,,,,,,,
Project,1.0,,,,,,,
awarded,3.0,,,,,,,
